fecha,precio_canasta_alimentaria_urbana
2015-11-01,1297.64
2015-12-01,1315.08
2016-01-01,1333.7
2016-02-01,1343.28
2016-03-01,1338.93
2016-04-01,1335.18
2016-05-01,1330.28
2016-06-01,1322.62
2016-07-01,1321.24
2016-08-01,1310.99
2016-09-01,1339.41
2016-10-01,1346.44
2016-11-01,1355.67
2016-12-01,1369.61
2017-01-01,1371.59
2017-02-01,1373.02
2017-03-01,1386.04
2017-04-01,1400.22
2017-05-01,1408.22
2017-06-01,1422.19
2017-07-01,1446.47
2017-08-01,1477.29
2017-09-01,1485.19
2017-10-01,1469.71
2017-11-01,1475.85
2017-12-01,1491.59
2018-01-01,1490.78
2018-02-01,1472.86
2018-03-01,1482.75
2018-04-01,1482.46
2018-05-01,1472.62
2018-06-01,1476.86
2018-07-01,1492.26
2018-08-01,1516.62
2018-09-01,1522.46
2018-10-01,1513.59
2018-11-01,1530.56
2018-12-01,1556.24
2019-01-01,1568.07
2019-02-01,1554.12
2019-03-01,1562.72
2019-04-01,1569.36
2019-05-01,1562.26
2019-06-01,1552.41
2019-07-01,1568.96
2019-08-01,1560.18
2019-09-01,1561.33
2019-10-01,1561.59
2019-11-01,1576.06
2019-12-01,1598.52
2020-01-01,1615.21
2020-02-01,1623.19
2020-03-01,1637.07
2020-04-01,1632.51
2020-05-01,1649.65
2020-06-01,1640
2020-07-01,1648.08
2020-08-01,1661.39
2020-09-01,1671.38
